Campaign_Start_Time,00:27:33

Face_ID,Start_Time,End_Time,Attention_Time_s,Total_Time_s
1,00:28:01,00:28:08,5.62,5.62
2,00:28:02,00:28:08,1.57,1.57
2,00:28:20,00:28:25,0.88,0.88
4,00:28:23,00:28:25,0.39,0.39
6,00:28:26,00:28:26,0.18,0.18
5,00:28:25,00:28:29,1.19,1.19
7,00:28:28,00:28:36,3.49,3.49
3,00:28:08,00:28:42,20.97,20.97
7,00:28:42,00:28:42,0.05,0.05
2,00:28:42,00:28:42,0.19,0.19
1,00:28:42,00:28:42,0.08,0.08

Summary
Unique_People,7
Total_Attention_Time_s,34.61
Average_Attention_Time_s,4.94
Campaign_Duration_s,89.09
